AC	ENSEMBL
A0A087WPF7	ENSMUST00000161226
A0A088MLT8	ENSMUST00000182006
A0A096LP01	ENST00000411646
A0A096MJN4	ENSRNOT00000076026
A0A096MJN4	ENSRNOT00055046116
A0A096MJN4	ENSRNOT00060053951
A0A096MJN4	ENSRNOT00065029326
A0A096MJY4	ENSRNOT00055040090
A0A096MJY4	ENSRNOT00060000861
A0A096MJY4	ENSRNOT00065008259
A0A096MK47	ENSRNOT00055012669
A0A096MK47	ENSRNOT00060034703
A0A096MK47	ENSRNOT00065027441
A0A0B4J1F4	ENSMUST00000048068
A0A0B4J1G0	ENSMUST00000078825
A0A0B4J1N3	ENSMUST00000179488
A0A0B4J2F0	ENST00000436697
A0A0B4J2F0	ENST00000567948
A0A0G2JTR4	ENSRNOT00000098977
A0A0G2JTY4	ENSRNOT00055030929
A0A0G2JTY4	ENSRNOT00060021302
A0A0G2JTY4	ENSRNOT00065019804
A0A0G2JV04	ENSRNOT00000114183
A0A0G2JV04	ENSRNOT00065034262
A0A0G2JXN2	ENSRNOT00000077074
A0A0G2JXN2	ENSRNOT00055044625
A0A0G2JXN2	ENSRNOT00060047651
A0A0G2JXN2	ENSRNOT00065043491
A0A0G2JXT6	ENSRNOT00000082665
A0A0G2JXT6	ENSRNOT00055021920
A0A0G2JXT6	ENSRNOT00060033499
A0A0G2JXT6	ENSRNOT00065051828
A0A0G2JZ79	ENSRNOT00000095567
A0A0G2JZ79	ENSRNOT00055016732
A0A0G2JZ79	ENSRNOT00060004684
A0A0G2JZ79	ENSRNOT00065039314
A0A0G2K047	ENSRNOT00000082141
A0A0G2K047	ENSRNOT00055028508
A0A0G2K047	ENSRNOT00060006410
A0A0G2K047	ENSRNOT00065004503
A0A0G2K1Q8	ENSRNOT00000079700
A0A0G2K309	ENSRNOT00000050637
A0A0G2K309	ENSRNOT00055013217
A0A0G2K309	ENSRNOT00060049159
A0A0G2K309	ENSRNOT00065014049
A0A0G2K344	ENSRNOT00000083720
A0A0G2K344	ENSRNOT00055017425
A0A0G2K344	ENSRNOT00060003682
A0A0G2K344	ENSRNOT00065013857
A0A0G2KQY6	ENSDART00000163942
A0A0G2KQY6	ENSDART00000185624
A0A0G2KTI4	ENSDART00000169885
A0A0G2L7I0	ENSDART00000158057
A0A0G2QC33	ENSRNOT00000025529
A0A0G2QC33	ENSRNOT00055017659
A0A0G2QC33	ENSRNOT00060002079
A0A0G2QC33	ENSRNOT00065034677
A0A0K2S4Q6	ENST00000641710
A0A0K2S4Q6	ENST00000709217
A0A0N9E2K8	ENSDART00000188582
A0A0P6JG37	ENSHGLT00000051711
A0A0P6JG37	ENSHGLT00100060796
A0A0R4IB93	ENSDART00000165203
A0A0R4IBK5	ENSDART00000168133
A0A0R4IDX9	ENSDART00000172074
A0A0R4IEW8	ENSDART00000172510
A0A0R4IFG5	ENSDART00000167230
A0A0R4IKJ1	ENSDART00000172081
A0A0R4ILB2	ENSDART00000159072
A0A0R4IMY7	ENSDART00000166906
A0A0R4IVV0	ENSDART00000015251
A0A0R4IXF6	ENSDART00000157682
A0A0R4IY06	ENSDART00000167347
A0A0R4IZ84	ENSDART00000158537
A0A0U1RPR8	ENSMUST00000206435
A0A0U1RRE5	ENST00000374922
A0A0U1RRE5	ENST00000423617
A0A0U1RRE5	ENST00000637096
A0A140LIF8	ENSMUST00000058704
A0A140LIF8	ENSMUST00000108836
A0A193KX02	ENSDART00000190231
A0A1B0GQX2	ENSMUST00000381795
A0A1B0GR13	ENSMUST00000210720
A0A1B0GTW7	ENST00000637218
A0A1D5NS60	ENSDART00000173638
A0A1D5NSM8	ENSDART00000173642
A0A1S3PBB7	ENSSSAT00070014179
