AC	ENSEMBL
A0A087WPF7	ENSMUST00000161226
A0A088MLT8	ENSMUST00000182006
A0A096LP01	ENST00000411646
A0A096MJN4	ENSRNOT00000076026
A0A096MJY4	ENSRNOT00055040090
A0A096MK47	ENSRNOT00055012669
A0A0B4J1F4	ENSMUST00000048068
A0A0B4J1G0	ENSMUST00000078825
A0A0B4J1N3	ENSMUST00000179488
A0A0B4J2F0	ENST00000436697
A0A0G2JTR4	ENSRNOT00000098977
A0A0G2JTY4	ENSRNOT00055030929
A0A0G2JV04	ENSRNOT00000114183
A0A0G2JXN2	ENSRNOT00000077074
A0A0G2JXT6	ENSRNOT00000082665
A0A0G2JZ79	ENSRNOT00000095567
A0A0G2K047	ENSRNOT00000082141
A0A0G2K1Q8	ENSRNOT00000079700
A0A0G2K309	ENSRNOT00000050637
A0A0G2K344	ENSRNOT00000083720
A0A0G2KQY6	ENSDART00000163942
A0A0G2KTI4	ENSDART00000169885
A0A0G2L7I0	ENSDART00000158057
A0A0G2QC33	ENSRNOT00000025529
A0A0K2S4Q6	ENST00000641710
A0A0N9E2K8	ENSDART00000188582
A0A0P6JG37	ENSHGLT00000051711
A0A0R4IB93	ENSDART00000165203
A0A0R4IBK5	ENSDART00000168133
A0A0R4IDX9	ENSDART00000172074
A0A0R4IEW8	ENSDART00000172510
A0A0R4IFG5	ENSDART00000167230
A0A0R4IKJ1	ENSDART00000172081
A0A0R4ILB2	ENSDART00000159072
A0A0R4IMY7	ENSDART00000166906
A0A0R4IVV0	ENSDART00000015251
A0A0R4IXF6	ENSDART00000157682
A0A0R4IY06	ENSDART00000167347
A0A0R4IZ84	ENSDART00000158537
A0A0U1RPR8	ENSMUST00000206435
A0A0U1RRE5	ENST00000374922
A0A140LIF8	ENSMUST00000058704
A0A193KX02	ENSDART00000190231
A0A1B0GQX2	ENSMUST00000381795
A0A1B0GR13	ENSMUST00000210720
A0A1B0GTW7	ENST00000637218
A0A1D5NS60	ENSDART00000173638
A0A1D5NSM8	ENSDART00000173642
A0A1S3PBB7	ENSSSAT00070014179
A0A1S6M251	ENSSSCT00000008169
A0A1W2P872	ENSMUST00000220302
A0A286Y9D1	ENSDART00000177759
A0A287B8J2	ENSSSCT00000042888
A0A2K5EJU6	ENSANAT00000051542
A0A2K5QCI5	ENSCCAT00000031045
A0A2K5TU92	ENSMFAT00000022292
A0A2K6TRM6	ENSSBOT00000039158
A0A2R8Q1W5	ENSDART00000186561
A0A2R8QCI3	ENSDART00000187996
A0A2R8QF68	ENSDART00000180026
A0A2R8Y7D0	ENST00000646160
A0A2R9YJI3	ENSDART00000128807
A0A3L7I2I8	ENSCGRT00001020695
A0A452E9Y6	ENSCHIT00000016739
A0A494BA31	ENSMUST00000236124
A0A4X1UM84	ENSSSCT00000008222
A0A4Z3	ENSRNOT00000126249
A0A5F8MPU3	ENSMUST00000238949
A0A6I8PUB9	ENSXETT00000065942
A0A6P3HVI0	ENSBBBT00000026436
A0A6P6DKR7	ENSODET00000011944
A0A6P7EFR0	ENSOART00000014913
A0A8C0N8E3	ENSCAFT00000071494
A0A8C0NGY6	ENSCAFT00000043495
A0A8C0TYJ0	ENSCAFT00000021175
A0A8C2LVE3	ENSCGRT00001012904
A0A8C2MDK8	ENSCGRT00000012406
A0A8I3NFE2	ENSCAFT00000009283
A0A8I3NQW8	ENSCAFT00000027319
A0A8I3P7X4	ENSCAFT00000020422
A0A8I3PDQ1	ENSCAFT00845036501
A0A8I3PI99	ENSCAFT00000021367
A0A8I3PQN6	ENSCAFT00000013268
A0A8I3QA39	ENSCAFT00000010812
A0A8I3S724	ENSCAFT00030046613
A0A8I3S9V6	ENSCAFT00000079481
A0A8I5KQE6	ENST00000484897
