Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 2207.82it/s]
K2MXI1_TRYCR: Predicted ERROR, probability : 0.8525
K1RU52_CRAGI: Predicted ERROR, probability : 0.6813
I3LB57_PIG: Predicted CORRECT, probability : 0.2992
BBS5_HUMAN: Predicted CORRECT, probability : 0.4687
K2NW30_TRYCR: Predicted CORRECT, probability : 0.3822
L5KA36_PTEAL: Predicted CORRECT, probability : 0.4177
H3CI58_TETNG: Predicted CORRECT, probability : 0.2946
F6VW47_MACMU: Predicted CORRECT, probability : 0.4896
A0A0P7WKC5_9TELE: Predicted CORRECT, probability : 0.3281
H0WJQ5_OTOGA: Predicted CORRECT, probability : 0.2866
G0NZF3_CAEBE: Predicted CORRECT, probability : 0.1618
A0A096MP50_PAPAN: Predicted ERROR, probability : 0.9902
L5JTT8_PTEAL: Predicted CORRECT, probability : 0.2636
F6PJY2_HORSE: Predicted ERROR, probability : 0.9339
A0A194Q979_PAPXU: Predicted ERROR, probability : 0.9713
F1Q1T8_CANLF: Predicted ERROR, probability : 0.5130
G1TZP3_RABIT: Predicted CORRECT, probability : 0.1275
A0A078B9U9_STYLE: Predicted ERROR, probability : 0.8984
V5D873_TRYCR: Predicted ERROR, probability : 0.5404
G1S9G6_NOMLE: Predicted CORRECT, probability : 0.2274
H2MKU8_ORYLA: Predicted ERROR, probability : 0.5505
H2PQU8_PONAB: Predicted ERROR, probability : 0.7835
TTC8_MOUSE: Predicted CORRECT, probability : 0.4325
A4H4J1_LEIBR: Predicted ERROR, probability : 0.5875
A0A0Q3P3K1_AMAAE: Predicted ERROR, probability : 0.9983
Q381Z0_TRYB2: Predicted CORRECT, probability : 0.2714
W5M531_LEPOC: Predicted CORRECT, probability : 0.2000
I1FIZ6_AMPQE: Predicted ERROR, probability : 0.5928
C3YE92_BRAFL: Predicted CORRECT, probability : 0.1422
G4YN09_PHYSP: Predicted CORRECT, probability : 0.3814
A0A0N5D665_THECL: Predicted ERROR, probability : 0.8354
B1WC73_RAT: Predicted CORRECT, probability : 0.1691
D6W797_TRICA: Predicted CORRECT, probability : 0.4451
E1BXI4_CHICK: Predicted CORRECT, probability : 0.2207
G7Q158_MACFA: Predicted CORRECT, probability : 0.4913
M4AG44_XIPMA: Predicted CORRECT, probability : 0.1608
TTC8_HUMAN: Predicted ERROR, probability : 0.8245
A0A0M9A2F4_9HYME: Predicted ERROR, probability : 0.6003
F9WK42_TRYCI: Predicted ERROR, probability : 0.5834
G1KJQ1_ANOCA: Predicted ERROR, probability : 0.5387
W2RGR2_PHYPN: Predicted ERROR, probability : 0.5130
L5MA12_MYODS: Predicted CORRECT, probability : 0.2646
G5C4B2_HETGA: Predicted ERROR, probability : 0.6483
B4Q641_DROSI: Predicted ERROR, probability : 0.6712
A4I587_LEIIN: Predicted ERROR, probability : 0.5914
G3QMT8_GORGO: Predicted CORRECT, probability : 0.1500
C3YH99_BRAFL: Predicted CORRECT, probability : 0.1380
A0A0S4KLB5_BODSA: Predicted ERROR, probability : 0.5654
D7G3Y7_ECTSI: Predicted CORRECT, probability : 0.4801
D2VQK4_NAEGR: Predicted CORRECT, probability : 0.2026
B4LHK4_DROVI: Predicted ERROR, probability : 0.9678
B3MGG0_DROAN: Predicted CORRECT, probability : 0.1219
A0A061J9H1_TRYRA: Predicted CORRECT, probability : 0.4414
H3CW16_TETNG: Predicted CORRECT, probability : 0.3390
A0A074ZZC8_9TREM: Predicted ERROR, probability : 0.9717
Q7Q1T6_ANOGA: Predicted CORRECT, probability : 0.1714
TTC8_CAEEL: Predicted ERROR, probability : 0.9360
W2Q6I6_PHYPN: Predicted ERROR, probability : 0.9910
M3W9S7_FELCA: Predicted CORRECT, probability : 0.2354
A0A158NWD1_ATTCE: Predicted ERROR, probability : 0.6119
S9W7J6_9TRYP: Predicted ERROR, probability : 0.6378
A0A067REY3_ZOONE: Predicted CORRECT, probability : 0.2821
A0A0N1IJK5_LEPSE: Predicted CORRECT, probability : 0.4216
A0A0L7R3T5_9HYME: Predicted ERROR, probability : 0.6344
I7LWB4_TETTS: Predicted ERROR, probability : 0.7456
CH037_BOVIN: Predicted ERROR, probability : 0.5294
W6L8P3_9TRYP: Predicted ERROR, probability : 0.7224
B4QJX6_DROSI: Predicted CORRECT, probability : 0.4534
M4A7P2_XIPMA: Predicted CORRECT, probability : 0.2885
H9JGR5_BOMMO: Predicted ERROR, probability : 0.7293
A0A061J9B9_TRYRA: Predicted CORRECT, probability : 0.4582
A0A0J7KYW6_LASNI: Predicted ERROR, probability : 0.7253
H2PT77_PONAB: Predicted CORRECT, probability : 0.4097
E9ADL1_LEIMA: Predicted CORRECT, probability : 0.4938
W5LTX0_ASTMX: Predicted CORRECT, probability : 0.4776
E4X424_OIKDI: Predicted ERROR, probability : 0.6546
S7PF38_MYOBR: Predicted ERROR, probability : 0.7355
G3STK5_LOXAF: Predicted CORRECT, probability : 0.3342
A0A026WF71_CERBI: Predicted ERROR, probability : 0.6352
W4FRY5_9STRA: Predicted CORRECT, probability : 0.1132
K1P4M1_CRAGI: Predicted ERROR, probability : 0.6707
F6QF28_MONDO: Predicted CORRECT, probability : 0.1533
G1PSK0_MYOLU: Predicted CORRECT, probability : 0.2825
BBIP1_NEMVE: Predicted CORRECT, probability : 0.4815
A0A0M8ZZ34_9HYME: Predicted CORRECT, probability : 0.4394
M3WGL7_FELCA: Predicted CORRECT, probability : 0.2904
W2TZ29_NECAM: Predicted ERROR, probability : 0.9572
H2MRS1_ORYLA: Predicted ERROR, probability : 0.5266
B0X1U1_CULQU: Predicted ERROR, probability : 0.5045
A4HVW2_LEIIN: Predicted ERROR, probability : 0.6237
F7I023_CALJA: Predicted ERROR, probability : 0.7287
W5NLE0_LEPOC: Predicted CORRECT, probability : 0.3986
L5K3B6_PTEAL: Predicted ERROR, probability : 0.8938
A0A0N0P2P9_LEPSE: Predicted ERROR, probability : 0.7273
H2NBL0_PONAB: Predicted ERROR, probability : 0.7944
T0Q4Q9_9STRA: Predicted CORRECT, probability : 0.3653
A0A067CLP2_SAPPC: Predicted ERROR, probability : 0.5478
B4MJU3_DROWI: Predicted CORRECT, probability : 0.4731
G3NNG6_GASAC: Predicted ERROR, probability : 0.5113
D0NIV2_PHYIT: Predicted ERROR, probability : 0.9639
A0A087Y3I8_POEFO: Predicted ERROR, probability : 0.5574
E1BHJ5_BOVIN: Predicted CORRECT, probability : 0.1178
A7RRK9_NEMVE: Predicted ERROR, probability : 0.9573
G1SEN4_RABIT: Predicted CORRECT, probability : 0.4994
C1N892_MICPC: Predicted ERROR, probability : 0.9684
B4HV21_DROSE: Predicted CORRECT, probability : 0.4302
G1KRM1_ANOCA: Predicted ERROR, probability : 0.8337
H0WCG0_CAVPO: Predicted CORRECT, probability : 0.2939
F6TJD2_ORNAN: Predicted CORRECT, probability : 0.1484
G1KIP3_ANOCA: Predicted CORRECT, probability : 0.0893
Q4DFM2_TRYCC: Predicted ERROR, probability : 0.7472
A0A0H5S235_BRUMA: Predicted CORRECT, probability : 0.3577
A0A0N4TTF5_BRUPA: Predicted CORRECT, probability : 0.3682
A0A0G4GWT1_VITBC: Predicted ERROR, probability : 0.6335
C1N2T5_MICPC: Predicted ERROR, probability : 0.7174
G3TCL0_LOXAF: Predicted CORRECT, probability : 0.4454
I3IZ50_ORENI: Predicted ERROR, probability : 0.8038
G3SHD1_GORGO: Predicted CORRECT, probability : 0.2169
V5DUI8_TRYCR: Predicted CORRECT, probability : 0.4158
W5LRM0_ASTMX: Predicted CORRECT, probability : 0.2454
G1T913_RABIT: Predicted CORRECT, probability : 0.2593
W6KG70_9TRYP: Predicted ERROR, probability : 0.5720
H2N1F5_ORYLA: Predicted CORRECT, probability : 0.3152
F7FJH7_CALJA: Predicted ERROR, probability : 0.9851
A0A0L7LAE1_9NEOP: Predicted ERROR, probability : 0.8923
A0A0N4V6W9_ENTVE: Predicted ERROR, probability : 0.6305
B4J6Z6_DROGR: Predicted CORRECT, probability : 0.4605
A0A091CX66_FUKDA: Predicted CORRECT, probability : 0.4284
B4MV93_DROWI: Predicted ERROR, probability : 0.7878
A9TVU1_PHYPA: Predicted ERROR, probability : 0.5064
E3MFS3_CAERE: Predicted ERROR, probability : 0.5617
W5L586_ASTMX: Predicted CORRECT, probability : 0.4450
E3LSA6_CAERE: Predicted CORRECT, probability : 0.4402
U6NNW6_HAECO: Predicted ERROR, probability : 0.9122
A8Y3D5_CAEBR: Predicted ERROR, probability : 0.5720
W4YZF5_STRPU: Predicted ERROR, probability : 0.5711
B4I3T5_DROSE: Predicted ERROR, probability : 0.8805
S7N9N3_MYOBR: Predicted CORRECT, probability : 0.2865
Q38DU9_TRYB2: Predicted ERROR, probability : 0.7883
K7FSX8_PELSI: Predicted ERROR, probability : 0.7696
A8JEA1_CHLRE: Predicted ERROR, probability : 0.6155
H2QMG1_PANTR: Predicted CORRECT, probability : 0.4593
H2KQJ5_CLOSI: Predicted CORRECT, probability : 0.1475
A7SH53_NEMVE: Predicted CORRECT, probability : 0.3777
A0A0G4IPH3_PLABS: Predicted ERROR, probability : 0.6653
A0A0D9RJ69_CHLSB: Predicted ERROR, probability : 0.6143
A0A0G2JT03_RAT: Predicted ERROR, probability : 0.8391
BBS12_MOUSE: Predicted CORRECT, probability : 0.1679
